270k, train_mse: 7.7279394e-05, test1_mse: 8.028577e-05, test2_mse: 4.6080855e-05
271k, train_mse: 8.0589394e-05, test1_mse: 8.3890685e-05, test2_mse: 4.5875902e-05
272k, train_mse: 7.690682e-05, test1_mse: 7.8939236e-05, test2_mse: 4.5848672e-05
273k, train_mse: 8.297364e-05, test1_mse: 8.5705185e-05, test2_mse: 4.5942073e-05
274k, train_mse: 7.535656e-05, test1_mse: 7.759589e-05, test2_mse: 4.6082005e-05
275k, train_mse: 8.217552e-05, test1_mse: 8.4446096e-05, test2_mse: 5.1160212e-05
276k, train_mse: 7.973081e-05, test1_mse: 8.375722e-05, test2_mse: 4.734098e-05
277k, train_mse: 8.531127e-05, test1_mse: 8.7703884e-05, test2_mse: 5.234871e-05
278k, train_mse: 7.595272e-05, test1_mse: 7.927523e-05, test2_mse: 4.7262885e-05
279k, train_mse: 7.720311e-05, test1_mse: 7.86567e-05, test2_mse: 4.4379874e-05
280k, train_mse: 8.7233275e-05, test1_mse: 8.949026e-05, test2_mse: 5.263679e-05
281k, train_mse: 7.714724e-05, test1_mse: 8.071713e-05, test2_mse: 4.6732002e-05
282k, train_mse: 7.639625e-05, test1_mse: 8.0159654e-05, test2_mse: 4.4252352e-05
283k, train_mse: 8.016732e-05, test1_mse: 8.246243e-05, test2_mse: 5.0054176e-05
284k, train_mse: 7.400394e-05, test1_mse: 7.690662e-05, test2_mse: 4.3936227e-05
285k, train_mse: 8.011033e-05, test1_mse: 8.177889e-05, test2_mse: 4.895665e-05
286k, train_mse: 7.941497e-05, test1_mse: 8.28281e-05, test2_mse: 4.9771188e-05
287k, train_mse: 7.65187e-05, test1_mse: 7.8984325e-05, test2_mse: 4.3453747e-05
288k, train_mse: 7.9437064e-05, test1_mse: 8.1079816e-05, test2_mse: 4.9371698e-05
289k, train_mse: 8.500505e-05, test1_mse: 8.6781794e-05, test2_mse: 4.6555975e-05
290k, train_mse: 8.432552e-05, test1_mse: 8.654968e-05, test2_mse: 4.7236786e-05
291k, train_mse: 8.0811165e-05, test1_mse: 8.306242e-05, test2_mse: 4.958445e-05
292k, train_mse: 8.6973596e-05, test1_mse: 8.8349094e-05, test2_mse: 4.9755276e-05
293k, train_mse: 8.4307685e-05, test1_mse: 8.661387e-05, test2_mse: 5.033424e-05
294k, train_mse: 8.633187e-05, test1_mse: 8.859013e-05, test2_mse: 5.0116298e-05
295k, train_mse: 7.700374e-05, test1_mse: 7.881873e-05, test2_mse: 4.2374082e-05
296k, train_mse: 7.80764e-05, test1_mse: 8.057325e-05, test2_mse: 4.4715365e-05
297k, train_mse: 8.646267e-05, test1_mse: 8.878488e-05, test2_mse: 5.468034e-05
298k, train_mse: 8.321419e-05, test1_mse: 8.562304e-05, test2_mse: 4.765207e-05
299k, train_mse: 7.787281e-05, test1_mse: 8.023613e-05, test2_mse: 4.8344304e-05
